Default Dataset,,light_impurities_1,,light_impurities_2,,VH,,VCH,,VOH,,GB,,GB_vac,,dislo_wo_kink,,jogged_dislo,,dislocation_loop,,SIA,,Nickel,,iron,,copper,
X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y
5.947276640963461,0.3134110787172011,5.947997226518749,0.33161768627660093,4.893140967518267,0.32128380180276306,6.945394780975381,0.44833523400639574,6.989803448044544,0.5428657677601127,5.975649023948481,0.47623040629681856,3.1499999999999986,0.9707602339181269,2,0.8600146198830392,8.999999999999996,0.566860465116279,8.953757225433524,0.566860465116279,5.9942196531791865,0.5087209302325579,2,0.46511627906976694,2.9545454545454533,1.0282097288676295,1.9545454545454604,1.002624933545992,1,0.8672248803827811
4.965695757608787,0.3279883381924198,4.939010080537628,0.32141714224758644,3.974958664462104,0.36221931836364574,5.920641309451936,0.9558149415263526,5.928825384047762,0.5125109009190316,4.957872140605083,0.6058115873974201,2.049999999999997,1.1820175438596472,1.0499999999999972,1.1673976608187113,7.98265895953757,0.5595930232558142,7.98265895953757,0.566860465116279,5.115606936416178,0.5523255813953485,1.0434782608695699,0.5232558139534884,,,,,,
4.031252554426311,0.3206997084548102,3.884153821537147,0.3110832577737477,2.9645047735879224,0.43195637100645357,4.99436506339304,1.1291116030500217,4.954652176829676,0.7802262918986611,3.9776615013081127,1.2005545493168763,1,1.3644005847953198,,,6.965317919075144,0.5595930232558142,6.965317919075144,0.5595930232558142,4.052023121387279,0.9011627906976745,,,,,,,,
2.9566224353559853,0.3134110787172011,2.9209024481305654,0.3082831084324491,2.0004533575124004,0.47275854712251286,3.9769906755215665,1.236890946087968,3.8889783323270954,1.0042262024552229,2.9621654256389647,1.2065919813957653,,,,,6.040462427745663,0.6468023255813953,6.040462427745663,1.1627906976744187,3.0809248554913253,1.0101744186046513,,,,,,,,
1.9753140241410332,0.3134110787172011,2.0036535281881704,0.2983492452930818,1.0368019627713458,0.49175956050989367,2.960018783122024,1.3228684510632593,3.0108673777420023,1.0685695758144949,1.9013215267994887,1.1689698352004656,,,,,5.023121387283233,0.6540697674418605,5.069364161849709,0.9593023255813953,2.0173410404624192,1.802325581395349,,,,,,,,
0.994141848995941,0.30612244897959195,0.994799722651873,0.2808816470211739,,,1.9875897229489468,1.4961092104380498,1.9936271550278377,1.1690816394982226,0.972764473066345,1.465810245745847,,,,,4.005780346820806,0.6468023255813953,4.098265895953755,0.9084302325581397,1.0462427745664655,1.9622093023255816,,,,,,,,
,,,,,,0.9711544911786412,1.5530175979964675,0.9719594821224931,1.5094139218711573,,,,,,,3.0809248554913253,0.7630813953488373,3.0809248554913253,1.613372093023256,,,,,,,,,,
,,,,,,,,,,,,,,,,2.063583815028899,0.7630813953488373,1.9710982658959537,1.5697674418604652,,,,,,,,,,
,,,,,,,,,,,,,,,,1.0462427745664655,0.7630813953488373,1,1.6061046511627908,,,,,,,,,,
